,Mean,Std,CI95_low,CI95_high,Point
roc,0.7152170627111966,0.017893108969874994,0.6809069238793097,0.7493856400362404,0.7156139124825287
pr,0.7537746188319611,0.020181106886238892,0.7113422806345058,0.79211527522946,0.7543575887785675
brier,0.21447423212836877,0.0073237014910904,0.200350366839503,0.2295314504134559,0.21415359356067734
ece,0.07422742270529818,0.012615586317714842,0.050767409189493407,0.09956096578548324,0.06547283420575037
tp,453.503,15.154470990437112,424.0,483.0,454.0
tn,135.096,10.903063055857285,113.975,156.0,135.0
fp,220.773,12.96053513555671,196.0,246.0,220.0
fn,69.628,8.017207493884639,55.0,86.0,70.0
precision,0.6725707115750329,0.018311248465040977,0.6379809168116239,0.7083474736048265,0.6735905044510386
sensitivity,0.8668934730010496,0.014967146789799629,0.8363863418391072,0.8941618587642234,0.8664122137404581
