"Model","term","OR","CI_low","CI_high","p_value","section"
"hatype only","hatypeAura",3.25301204818485,1.34911114727772,7.84374764598801,0.00861805191115549,"model1"
"hatype only","hatypeMixed",2.37401781037166,1.43789306340958,3.91959646192166,0.000725723181654248,"model1"
"hatype + covariates","hatypeAura",3.1071166088914,1.60687956316091,6.00802564335188,0.000752256770239253,"model2"
"hatype + covariates","hatypeMixed",1.63786076841118,0.741960599406578,3.61553955674464,0.221991681733494,"model2"
"hatype + covariates","sexmale",1.08661988189189,0.506885337616845,2.32940801419525,0.830918531279115,"model2"
"hatype + covariates","age_band31-40",0.505197702883204,0.173435868653209,1.47157978900429,0.210660898488567,"model2"
"hatype + covariates","age_band41-50",0.442071253501518,0.190418673274193,1.02630162164295,0.0574876975282847,"model2"
"hatype + covariates","age_band51-66",1.2330853920491,0.575036952572355,2.64417717380271,0.590350804462335,"model2"
"hatype + covariates","prev_attacks",1.0153939806216,0.992846194027533,1.03845383311606,0.18241212289828,"model2"
"hatype only","hatypeAura",3.25301204818485,1.34911114727772,7.84374764598801,0.00861805191115549,"comparison"
"hatype only","hatypeMixed",2.37401781037166,1.43789306340958,3.91959646192166,0.000725723181654248,"comparison"
"hatype + covariates","hatypeAura",3.1071166088914,1.60687956316091,6.00802564335188,0.000752256770239253,"comparison"
"hatype + covariates","hatypeMixed",1.63786076841118,0.741960599406578,3.61553955674464,0.221991681733494,"comparison"
