"variable","level","term","OR","CI_low","CI_high","label"
"sex","female","AUC",0.857142857142857,0.857142857142857,0.857142857142857,"sex: female — AUC"
"sex","female","Sensitivity",NA,NA,NA,"sex: female — Sensitivity"
"sex","female","Specificity",1,1,1,"sex: female — Specificity"
"hatype","No Aura","AUC",0.833333333333333,0.833333333333333,0.833333333333333,"hatype: No Aura — AUC"
"hatype","No Aura","Sensitivity",NA,NA,NA,"hatype: No Aura — Sensitivity"
"hatype","No Aura","Specificity",1,1,1,"hatype: No Aura — Specificity"
"study_season","summer","AUC",1,1,1,"study_season: summer — AUC"
"study_season","summer","Sensitivity",NA,NA,NA,"study_season: summer — Sensitivity"
"study_season","summer","Specificity",1,1,1,"study_season: summer — Specificity"
"study_season","winter","AUC",NA,NA,NA,"study_season: winter — AUC"
"study_season","winter","Sensitivity",NA,NA,NA,"study_season: winter — Sensitivity"
"study_season","winter","Specificity",NA,NA,NA,"study_season: winter — Specificity"
