"term","estimate","se","z","p"
"(Intercept)",0.628114840186672,0.468489348354153,1.3407238444018,0.180010129908055
"treatment_phaseUnder treatment",-0.459653013567821,0.447557115946004,-1.02702648933701,0.304407991000919
"sexmale",-0.364684384738904,0.370795109337765,-0.983519942833726,0.325351605005531
"age_band31-40",-0.806260313770226,0.57445764580605,-1.40351568067115,0.160463119355309
"age_band41-50",-0.570505535339287,0.501764308535531,-1.13699903646871,0.255538688458528
"age_band51-66",0.404152347043184,0.454995306358415,0.888256079557928,0.374403019126889
"medicationnone",-0.65350685818978,0.378885092921965,-1.7248154398209,0.0845607383515375
"medicationreduced",0.7355065632573,0.322629399549774,2.27972579152332,0.0226239566388366
"prev_attacks",0.0323889945492094,0.0159590174800085,2.02951056290165,0.0424063142121317
